CORE_CN,STATECD,COUNTYCD,PLOT,FIADB_PLOT,SUBP,TREE,DIA,MEASYEAR,LAT,LON,ELEV,CNT_HT,CNT_LGTH,CNT_X,PITH,RINGCOUNT,VERIFY,REVISIT,INVYR,PLOT_CN,TRE_CN
289862739489998,30,67,194,NA,5,2,5.7,1997,45.234109,-110.670813,9300,0.4,1.8,0.6,n,64,NA,NA,1989,3092036010690,3092054010690
289862750489998,30,67,209,NA,2,2,7.3,1997,45.210346,-110.563977,8300,0.4,3.6,0.8,n,212,NA,NA,1989,3092650010690,3092677010690
289862760489998,30,67,222,NA,4,4,8.1,1997,45.14008,-110.550523,8800,0.7,7.2,1.4,n,231,NA,NA,1989,3093005010690,3093023010690
289862771489998,30,67,241,NA,1,2,8.1,1997,45.095156,-110.572482,9000,2.9,10.6,2.1,n,195,NA,NA,1989,3093516010690,3093528010690
289862772489998,30,67,245,NA,2,2,13.8,1997,45.120847,-110.305279,9700,0.6,7.3,1,n,185,NA,NA,1989,3093735010690,3093748010690
289862773489998,30,67,245,NA,4,1,11.1,1997,45.120847,-110.305279,9700,0.8,13.8,0.9,n,111,NA,NA,1989,3093735010690,3093761010690
289862774489998,30,67,246,NA,1,3,15.1,1997,45.111314,-110.222762,9300,1.4,10.3,2,n,189,NA,NA,1989,3093784010690,3093802010690
289862775489998,30,67,246,NA,2,1,12.1,1997,45.111314,-110.222762,9300,0.5,10.1,1.8,n,122,NA,NA,1989,3093784010690,3093804010690
289862796489998,30,67,270,NA,1,3,18.5,1997,45.047807,-109.937907,9500,1.4,15.4,1.5,n,244,NA,NA,1989,3094514010690,3094528010690
289862798489998,30,67,271,NA,1,5,10.4,1997,45.05691,-109.855185,9000,0.3,8.6,1,n,172,NA,NA,1989,3094580010690,3094597010690
289863009489998,30,77,2,NA,7,2,6.96,1993,47.568447,-113.394021,6900,1,4.3,1.5,n,222,n,y,1989,3106882010690,3106915010690
289863026489998,30,77,15,NA,7,5,9.9,1993,47.458089,-113.334602,7200,1,4,3,n,140,n,y,1989,3107437010690,3107486010690
289863027489998,30,77,16,NA,6,1,14.8,1993,47.481792,-113.274589,6600,0.9,9.1,1.9,n,254,n,y,1989,3107500010690,3107535010690
289863053489998,30,77,30,NA,1,1,12.2,1993,NA,NA,NA,NA,NA,NA,y,133,n,y,NA,3108415010690,3108427010690
289863054489998,30,77,30,NA,2,2,9.9,1993,47.38221,-113.117935,7600,NA,NA,NA,n,143,n,y,1989,3108415010690,3108429010690
289863088489998,30,77,46,NA,2,1,18.5,1996,47.242862,-113.252447,7000,NA,NA,NA,n,140,n,y,1989,3109128010690,3109139010690
