Year,CN,RW
1878,22T1743,0.73
1879,22T1743,0.59
1880,22T1743,0.55
1881,22T1743,0.4
1882,22T1743,0.43
1883,22T1743,0.44
1884,22T1743,0.39
1885,22T1743,0.42
1886,22T1743,0.48
1887,22T1743,0.45
1888,22T1743,0.37
1889,22T1743,0.37
1890,22T1743,0.44
1891,22T1743,0.43
1892,22T1743,0.62
1893,22T1743,0.56
1894,22T1743,0.55
1895,22T1743,0.64
1896,22T1743,0.63
1897,22T1743,0.65
1898,22T1743,0.61
1899,22T1743,0.63
1900,22T1743,0.58
1901,22T1743,0.56
1902,22T1743,0.59
1903,22T1743,0.57
1904,22T1743,0.6
1905,22T1743,0.49
1906,22T1743,0.47
1907,22T1743,0.33
1908,22T1743,0.42
1909,22T1743,0.51
1910,22T1743,0.45
1911,22T1743,0.49
1912,22T1743,0.41
1913,22T1743,0.45
1914,22T1743,0.55
1915,22T1743,0.5
1916,22T1743,0.41
1917,22T1743,0.42
1918,22T1743,0.31
1919,22T1743,0.33
1920,22T1743,0.31
1921,22T1743,0.26
1922,22T1743,0.26
1923,22T1743,0.27
1924,22T1743,0.31
1925,22T1743,0.22
1926,22T1743,0.28
1927,22T1743,0.33
1928,22T1743,0.3
1929,22T1743,0.36
1930,22T1743,0.35
1931,22T1743,0.32
1932,22T1743,0.34
1933,22T1743,0.28
1934,22T1743,0.21
1935,22T1743,0.21
1936,22T1743,0.17
1937,22T1743,0.11
1938,22T1743,0.14
1939,22T1743,0.16
1940,22T1743,0.21
1941,22T1743,0.22
1942,22T1743,0.29
1943,22T1743,0.41
1944,22T1743,0.27
1945,22T1743,0.25
1946,22T1743,0.25
1947,22T1743,0.27
1948,22T1743,0.28
1949,22T1743,0.27
1950,22T1743,0.29
1951,22T1743,0.35
1952,22T1743,0.31
1953,22T1743,0.31
1954,22T1743,0.31
1955,22T1743,0.32
1956,22T1743,0.28
1957,22T1743,0.28
1958,22T1743,0.22
1959,22T1743,0.25
1960,22T1743,0.22
1961,22T1743,0.18
1962,22T1743,0.33
1963,22T1743,0.29
1964,22T1743,0.3
1965,22T1743,0.3
1966,22T1743,0.35
1967,22T1743,0.31
1968,22T1743,0.32
1969,22T1743,0.37
1970,22T1743,0.31
1971,22T1743,0.33
1972,22T1743,0.33
1973,22T1743,0.3
1974,22T1743,0.24
1975,22T1743,0.28
1976,22T1743,0.3
1977,22T1743,0.25
1978,22T1743,0.3
1979,22T1743,0.19
1980,22T1743,0.24
1981,22T1743,0.26
1982,22T1743,0.24
1983,22T1743,0.26
1984,22T1743,0.2
1985,22T1743,0.21
1986,22T1743,0.22
1987,22T1743,0.2
1988,22T1743,0.16
1989,22T1743,0.08
1990,22T1743,0.13
1991,22T1743,0.09
1992,22T1743,0.09
1993,22T1743,0.09
1994,22T1743,0.11
1995,22T1743,0.14
1996,22T1743,0.15
1997,22T1743,0.13
1998,22T1743,0.22
1999,22T1743,0.18
2000,22T1743,0.16
2001,22T1743,0.17
2002,22T1743,0.16
2003,22T1743,0.16
2004,22T1743,0.14
2005,22T1743,0.21
2006,22T1743,0.21
2007,22T1743,0.22
2008,22T1743,0.25
2009,22T1743,0.25
2010,22T1743,0.22
2011,22T1743,0.23
2012,22T1743,0.31
2013,22T1743,0.3
2014,22T1743,0.35
2015,22T1743,0.26
2016,22T1743,0.23
2017,22T1743,0.2
2018,22T1743,0.22
2019,22T1743,0.22
2020,22T1743,0.24
2021,22T1743,0.19
1811,22T1746,0.85
1812,22T1746,1.17
1813,22T1746,1.28
1814,22T1746,0.68
1815,22T1746,0.67
1816,22T1746,0.69
1817,22T1746,0.69
1818,22T1746,0.75
1819,22T1746,0.87
1820,22T1746,0.86
1821,22T1746,0.85
1822,22T1746,1.08
1823,22T1746,1.31
1824,22T1746,1.37
1825,22T1746,1.4
1826,22T1746,1.8
1827,22T1746,1.64
1828,22T1746,1.53
1829,22T1746,1.42
1830,22T1746,0.84
1831,22T1746,0.56
1832,22T1746,0.44
1833,22T1746,0.5
1834,22T1746,0.71
1835,22T1746,0.97
1836,22T1746,0.88
1837,22T1746,0.82
1838,22T1746,0.75
1839,22T1746,0.74
1840,22T1746,0.49
1841,22T1746,0.6
1842,22T1746,1.02
1843,22T1746,1.47
1844,22T1746,1.18
1845,22T1746,1.44
1846,22T1746,0.68
1847,22T1746,0.82
1848,22T1746,0.82
1849,22T1746,1.08
1850,22T1746,0.96
1851,22T1746,0.96
1852,22T1746,0.94
1853,22T1746,0.85
1854,22T1746,0.85
1855,22T1746,0.87
1856,22T1746,0.98
1857,22T1746,0.91
1858,22T1746,0.76
1859,22T1746,1.09
1860,22T1746,1.06
1861,22T1746,0.82
1862,22T1746,0.96
1863,22T1746,0.92
1864,22T1746,0.72
1865,22T1746,0.83
1866,22T1746,0.94
1867,22T1746,0.83
1868,22T1746,0.79
1869,22T1746,0.86
1870,22T1746,0.72
1871,22T1746,0.7
1872,22T1746,0.85
1873,22T1746,1.09
1874,22T1746,1.16
1875,22T1746,1.14
1876,22T1746,0.95
1877,22T1746,1.08
1878,22T1746,0.94
1879,22T1746,0.76
1880,22T1746,0.62
1881,22T1746,0.7
1882,22T1746,0.84
1883,22T1746,0.62
1884,22T1746,0.76
1885,22T1746,0.86
1886,22T1746,0.96
1887,22T1746,0.78
1888,22T1746,0.6
1889,22T1746,0.62
1890,22T1746,0.63
1891,22T1746,0.88
1892,22T1746,0.67
1893,22T1746,0.75
1894,22T1746,0.92
1895,22T1746,0.82
1896,22T1746,0.72
1897,22T1746,0.67
1898,22T1746,0.54
1899,22T1746,0.51
1900,22T1746,0.75
1901,22T1746,0.73
1902,22T1746,0.82
1903,22T1746,0.77
1904,22T1746,0.76
1905,22T1746,0.73
1906,22T1746,0.55
1907,22T1746,0.66
1908,22T1746,0.66
1909,22T1746,0.56
1910,22T1746,0.65
1911,22T1746,0.63
1912,22T1746,0.57
1913,22T1746,0.7
1914,22T1746,0.7
1915,22T1746,0.51
1916,22T1746,0.58
1917,22T1746,0.47
1918,22T1746,0.6
1919,22T1746,0.6
1920,22T1746,0.47
1921,22T1746,0.5
1922,22T1746,0.55
1923,22T1746,0.72
1924,22T1746,0.66
1925,22T1746,0.82
1926,22T1746,0.77
1927,22T1746,0.77
1928,22T1746,0.8
1929,22T1746,0.66
1930,22T1746,0.57
1931,22T1746,0.67
1932,22T1746,0.49
1933,22T1746,0.5
1934,22T1746,0.63
1935,22T1746,0.49
1936,22T1746,0.42
1937,22T1746,0.42
1938,22T1746,0.59
1939,22T1746,0.7
1940,22T1746,0.58
1941,22T1746,0.76
1942,22T1746,0.75
1943,22T1746,0.59
1944,22T1746,0.54
1945,22T1746,0.55
1946,22T1746,0.51
1947,22T1746,0.55
1948,22T1746,0.54
1949,22T1746,0.53
1950,22T1746,0.6
1951,22T1746,0.7
1952,22T1746,0.64
1953,22T1746,0.55
1954,22T1746,0.6
1955,22T1746,0.68
1956,22T1746,0.53
1957,22T1746,0.56
1958,22T1746,0.52
1959,22T1746,0.55
1960,22T1746,0.54
1961,22T1746,0.49
1962,22T1746,0.62
1963,22T1746,0.51
1964,22T1746,0.46
1965,22T1746,0.44
1966,22T1746,0.56
1967,22T1746,0.53
1968,22T1746,0.54
1969,22T1746,0.63
1970,22T1746,0.45
1971,22T1746,0.41
1972,22T1746,0.44
1973,22T1746,0.48
1974,22T1746,0.41
1975,22T1746,0.43
1976,22T1746,0.37
1977,22T1746,0.4
1978,22T1746,0.46
1979,22T1746,0.41
1980,22T1746,0.48
1981,22T1746,0.51
1982,22T1746,0.43
1983,22T1746,0.45
1984,22T1746,0.38
1985,22T1746,0.37
1986,22T1746,0.44
1987,22T1746,0.56
1988,22T1746,0.33
1989,22T1746,0.26
1990,22T1746,0.26
1991,22T1746,0.2
1992,22T1746,0.29
1993,22T1746,0.27
1994,22T1746,0.37
1995,22T1746,0.29
1996,22T1746,0.24
1997,22T1746,0.3
1998,22T1746,0.28
1999,22T1746,0.28
2000,22T1746,0.22
2001,22T1746,0.24
2002,22T1746,0.2
2003,22T1746,0.25
2004,22T1746,0.16
2005,22T1746,0.25
2006,22T1746,0.26
2007,22T1746,0.19
2008,22T1746,0.23
2009,22T1746,0.27
2010,22T1746,0.22
2011,22T1746,0.24
2012,22T1746,0.38
2013,22T1746,0.32
2014,22T1746,0.45
2015,22T1746,0.3
2016,22T1746,0.24
2017,22T1746,0.35
2018,22T1746,0.22
2019,22T1746,0.24
2020,22T1746,0.18
2021,22T1746,0.2
1943,22T1754,0.73
1944,22T1754,0.53
1945,22T1754,0.87
1946,22T1754,0.7
1947,22T1754,0.7
1948,22T1754,0.78
1949,22T1754,0.64
1950,22T1754,0.54
1951,22T1754,0.39
1952,22T1754,0.37
1953,22T1754,0.74
1954,22T1754,1.04
1955,22T1754,0.82
1956,22T1754,0.84
1957,22T1754,1.01
1958,22T1754,1.02
1959,22T1754,1.26
1960,22T1754,1.29
1961,22T1754,1.05
1962,22T1754,1.42
1963,22T1754,1.08
1964,22T1754,0.76
1965,22T1754,1.17
1966,22T1754,1.23
1967,22T1754,0.94
1968,22T1754,1.04
1969,22T1754,0.9
1970,22T1754,0.66
1971,22T1754,0.59
1972,22T1754,0.51
1973,22T1754,0.51
1974,22T1754,0.92
1975,22T1754,0.87
1976,22T1754,0.72
1977,22T1754,0.71
1978,22T1754,0.97
1979,22T1754,0.75
1980,22T1754,0.4
1981,22T1754,0.77
1982,22T1754,0.9
1983,22T1754,0.85
1984,22T1754,0.69
1985,22T1754,0.61
1986,22T1754,0.48
1987,22T1754,0.57
1988,22T1754,0.63
1989,22T1754,0.71
1990,22T1754,0.65
1991,22T1754,0.76
1992,22T1754,0.86
1993,22T1754,0.78
1994,22T1754,0.93
1995,22T1754,0.79
1996,22T1754,0.85
1997,22T1754,0.85
1998,22T1754,0.72
1999,22T1754,0.82
2000,22T1754,0.53
2001,22T1754,0.71
2002,22T1754,0.94
2003,22T1754,0.88
2004,22T1754,1.27
2005,22T1754,1.53
2006,22T1754,0.92
2007,22T1754,1.48
2008,22T1754,1.44
2009,22T1754,1.29
2010,22T1754,1.28
2011,22T1754,1.6
2012,22T1754,1.37
2013,22T1754,1.21
2014,22T1754,1.18
2015,22T1754,1.65
2016,22T1754,1.66
2017,22T1754,1.76
2018,22T1754,1.81
2019,22T1754,1.49
2020,22T1754,2
1923,22T1759,0.62
1924,22T1759,0.83
1925,22T1759,0.81
1926,22T1759,0.67
1927,22T1759,0.73
1928,22T1759,0.68
1929,22T1759,0.68
1930,22T1759,0.64
1931,22T1759,0.52
1932,22T1759,0.53
1933,22T1759,0.47
1934,22T1759,0.52
1935,22T1759,0.44
1936,22T1759,0.47
1937,22T1759,0.56
1938,22T1759,0.6
1939,22T1759,0.52
1940,22T1759,0.39
1941,22T1759,0.4
1942,22T1759,0.37
1943,22T1759,0.45
1944,22T1759,0.79
1945,22T1759,0.57
1946,22T1759,0.46
1947,22T1759,0.51
1948,22T1759,0.52
1949,22T1759,0.43
1950,22T1759,0.58
1951,22T1759,0.78
1952,22T1759,0.84
1953,22T1759,0.66
1954,22T1759,0.58
1955,22T1759,0.55
1956,22T1759,0.2
1957,22T1759,0.82
1958,22T1759,0.61
1959,22T1759,0.47
1960,22T1759,0.36
1961,22T1759,0.28
1962,22T1759,0.37
1963,22T1759,0.35
1964,22T1759,0.39
1965,22T1759,0.63
1966,22T1759,0.7
1967,22T1759,0.44
1968,22T1759,0.33
1969,22T1759,0.48
1970,22T1759,0.41
1971,22T1759,0.56
1972,22T1759,1.05
1973,22T1759,0.78
1974,22T1759,0.77
1975,22T1759,0.56
1976,22T1759,0.52
1977,22T1759,0.45
1978,22T1759,0.47
1979,22T1759,0.35
1980,22T1759,0.43
