TRE_CN,PLT_CN,Year,RW
3062820010690,3062802010690,1979,1.37
3062820010690,3062802010690,1980,1.9
3062820010690,3062802010690,1981,1.94
3062820010690,3062802010690,1982,1.35
3062820010690,3062802010690,1983,1.55
3062820010690,3062802010690,1984,1.44
3062820010690,3062802010690,1985,1.49
3062820010690,3062802010690,1986,1.56
3062820010690,3062802010690,1987,1.65
3062820010690,3062802010690,1988,1.72
3062820010690,3062802010690,1989,1.77
3062820010690,3062802010690,1990,1.32
3062820010690,3062802010690,1991,1.35
3062820010690,3062802010690,1992,1.32
3062820010690,3062802010690,1993,1.43
3062820010690,3062802010690,1994,1.39
3062820010690,3062802010690,1995,1.31
3062820010690,3062802010690,1996,1.14
3062820010690,3062802010690,1997,1.31
3063272010690,3063258010690,1896,1.29
3063272010690,3063258010690,1897,1.24
3063272010690,3063258010690,1898,1.03
3063272010690,3063258010690,1899,1.3
3063272010690,3063258010690,1900,0.79
3063272010690,3063258010690,1901,0.68
3063272010690,3063258010690,1902,0.64
3063272010690,3063258010690,1903,0.74
3063272010690,3063258010690,1904,0.78
3063272010690,3063258010690,1905,0.98
3063272010690,3063258010690,1906,0.95
3063272010690,3063258010690,1907,1.03
3063272010690,3063258010690,1908,1.01
3063272010690,3063258010690,1909,0.54
3063272010690,3063258010690,1910,0.4
3063272010690,3063258010690,1911,0.53
3063272010690,3063258010690,1912,0.63
3063272010690,3063258010690,1913,0.62
3063272010690,3063258010690,1914,0.69
3063272010690,3063258010690,1915,1.03
3063272010690,3063258010690,1916,0.64
3063272010690,3063258010690,1917,0.95
3063272010690,3063258010690,1918,1.07
3063272010690,3063258010690,1919,0.82
3063272010690,3063258010690,1920,0.59
3063272010690,3063258010690,1921,0.74
3063272010690,3063258010690,1922,0.75
3063272010690,3063258010690,1923,0.87
3063272010690,3063258010690,1924,0.72
3063272010690,3063258010690,1925,0.67
3063272010690,3063258010690,1926,0.75
3063272010690,3063258010690,1927,0.77
3063272010690,3063258010690,1928,0.7
3063272010690,3063258010690,1929,0.73
3063272010690,3063258010690,1930,0.82
3063272010690,3063258010690,1931,0.76
3063272010690,3063258010690,1932,0.76
3063272010690,3063258010690,1933,0.66
3063272010690,3063258010690,1934,0.86
3063272010690,3063258010690,1935,0.71
3063272010690,3063258010690,1936,0.56
3063272010690,3063258010690,1937,0.53
3063272010690,3063258010690,1938,0.56
3063272010690,3063258010690,1939,0.56
3063272010690,3063258010690,1940,0.48
3063272010690,3063258010690,1941,0.62
3063272010690,3063258010690,1942,0.63
3063272010690,3063258010690,1943,0.71
3063272010690,3063258010690,1944,0.94
3063272010690,3063258010690,1945,0.68
3063272010690,3063258010690,1946,0.64
3063272010690,3063258010690,1947,0.74
3063272010690,3063258010690,1948,0.87
3063272010690,3063258010690,1949,0.75
3063272010690,3063258010690,1950,0.94
3063272010690,3063258010690,1951,1.02
3063272010690,3063258010690,1952,0.87
3063272010690,3063258010690,1953,0.99
3063272010690,3063258010690,1954,0.9
3063272010690,3063258010690,1955,1
3063272010690,3063258010690,1956,0.92
3063272010690,3063258010690,1957,0.73
3063272010690,3063258010690,1958,0.71
3063272010690,3063258010690,1959,0.87
3063272010690,3063258010690,1960,0.89
3063272010690,3063258010690,1961,0.72
3063272010690,3063258010690,1962,0.72
3063272010690,3063258010690,1963,0.43
3063272010690,3063258010690,1964,0.48
3063272010690,3063258010690,1965,0.48
3063272010690,3063258010690,1966,0.45
3063272010690,3063258010690,1967,0.41
3063272010690,3063258010690,1968,0.4
3063272010690,3063258010690,1969,0.14
3063272010690,3063258010690,1970,0.26
3063272010690,3063258010690,1971,0.26
3063272010690,3063258010690,1972,0.24
3063272010690,3063258010690,1973,0.27
3063272010690,3063258010690,1974,0.41
3063272010690,3063258010690,1975,0.49
3063272010690,3063258010690,1976,0.49
3063272010690,3063258010690,1977,0.5
3063272010690,3063258010690,1978,0.54
3063272010690,3063258010690,1979,0.5
3063272010690,3063258010690,1980,0.56
3063272010690,3063258010690,1981,0.5
3063272010690,3063258010690,1982,0.49
3063272010690,3063258010690,1983,0.5
3063272010690,3063258010690,1984,0.46
3063272010690,3063258010690,1985,0.59
3063272010690,3063258010690,1986,0.41
3063272010690,3063258010690,1987,0.47
3063272010690,3063258010690,1988,0.44
3063272010690,3063258010690,1989,0.49
3063272010690,3063258010690,1990,0.48
3063272010690,3063258010690,1991,0.31
3063272010690,3063258010690,1992,0.28
3063272010690,3063258010690,1993,0.4
3063272010690,3063258010690,1994,0.25
3063272010690,3063258010690,1995,0.35
3063272010690,3063258010690,1996,0.44
3063272010690,3063258010690,1997,0.41
3063911010690,3063873010690,1896,0.72
3063911010690,3063873010690,1897,0.63
3063911010690,3063873010690,1898,0.44
3063911010690,3063873010690,1899,0.53
3063911010690,3063873010690,1900,0.43
3063911010690,3063873010690,1901,0.57
3063911010690,3063873010690,1902,0.48
3063911010690,3063873010690,1903,0.57
3063911010690,3063873010690,1904,0.45
3063911010690,3063873010690,1905,0.51
3063911010690,3063873010690,1906,0.47
3063911010690,3063873010690,1907,0.4
3063911010690,3063873010690,1908,0.33
3063911010690,3063873010690,1909,0.3
3063911010690,3063873010690,1910,0.31
3063911010690,3063873010690,1911,0.28
3063911010690,3063873010690,1912,0.3
3063911010690,3063873010690,1913,0.26
