Year,Q8N10,Q9E4A,Q9E7,Q9S1,R9N1,R9N2A,R9N3A,R9N4B,R9N5A,R9N10A,R9E2,R9S2,R9S3,R9W10,R10E3,S9S5,S10N9A,S10N10,S10E3B,S10E9A,S10S3,S10S8,S11Ex1A,T7N4,T8N6,T8E2,T8E4,T8E5,T8E6,T8S2,T9N1,T9N9,T9E5A,T9S5,T9W2B,T9W3A,T10N9,T12N3,T12N6,T12N8,T12E1,T12E4,T12E6,U8N8,U8W8,U11W3,U12N7,U12N10,U12E5,U12W1,W9E10,W10N10,W10S2,W10S10
1956,1.588,0.211,0.91,1.524,3.429,0.254,0.867,1.629,0.867,0.762,0.529,0.867,1.227,1.397,0.762,1.926,1.206,0.572,0.867,0.571,0.635,0.444,1.144,1.63,1.419,0.424,1.27,0.762,1.99,1.079,0.784,1.714,1.016,1.08,2.201,1.587,0.931,0.233,0.127,0.317,0.296,2.392,0.127,0.889,1.016,0.381,0.974,1.534,2.667,0.508,0.635,0.359,1.778,1.164
1957,1.651,0.297,1.1,1.651,3.154,0.296,1.377,1.8,0.826,0.974,0.698,0.974,1.44,1.524,0.592,2.032,1.165,0.762,0.932,0.593,1.08,0.487,1.079,1.524,1.143,0.445,1.291,0.932,2.095,1.334,0.889,1.376,1.376,1.164,2.54,1.313,1.016,0.211,0.17,0.423,0.318,2.032,0.128,0.995,1.122,0.276,0.762,1.244,2.455,0.508,0.592,0.657,1.63,1.079
1958,2.011,0.339,1.122,1.714,2.646,0.191,1.673,2.159,1.016,1.164,0.826,1.08,1.545,1.27,0.657,2.011,1.439,0.846,1.227,0.614,1.291,0.423,0.635,1.841,0.931,0.55,1.122,0.677,2.096,1.185,0.847,0.931,2.053,1.312,2.498,1.333,1.164,0.149,0.359,0.403,0.423,2.201,0.148,1.016,1.164,0.296,0.91,1.29,1.037,0.529,0.572,0.973,1.672,1.313
1959,1.926,0.445,1.038,1.186,2.709,0.296,1.101,1.185,0.995,0.889,1.016,0.846,1.312,1.101,0.529,1.313,1.63,0.911,1.08,0.635,1.291,0.36,0.381,1.651,0.677,0.572,1.143,0.804,1.842,1.482,1.1,0.762,1.503,1.059,2.519,1.037,1.122,0.105,0.805,0.677,0.804,1.652,0.169,0.974,0.868,0.402,0.889,1.202,0.593,0.508,0.571,1.016,1.08,0.91
1960,1.926,0.359,0.888,1.248,2.053,0.191,1.059,0.762,0.656,0.614,0.847,0.762,0.974,0.952,0.613,1.164,1.143,0.55,0.762,0.317,1.736,0.297,0.445,1.588,0.614,0.465,1.207,0.889,2.18,1.27,1.143,0.699,1.439,1.058,1.778,0.868,1.059,0.106,1.058,0.593,0.805,1.375,0.169,0.952,0.825,0.381,0.741,0.922,0.465,0.339,0.699,0.699,0.783,0.677
1961,1.354,0.276,0.762,1.122,2.498,0.19,0.973,0.762,0.529,0.847,0.508,0.932,0.783,0.847,0.741,1.079,0.91,0.487,0.529,0.318,1.312,0.255,0.486,1.397,0.593,0.508,0.974,0.953,1.884,1.206,0.741,0.465,1.757,1.312,0.931,1.101,1.079,0.191,0.974,0.486,0.74,1.228,0.17,1.058,0.741,0.423,0.444,1.104,0.784,0.445,0.72,0.698,0.614,0.551
1962,1.27,0.254,0.657,0.995,1.926,0.275,1.249,0.614,0.55,0.931,0.677,0.889,0.952,1.186,0.657,0.931,0.974,0.423,0.741,0.402,1.271,0.297,0.614,1.46,0.635,0.572,1.058,0.931,1.714,1.122,0.635,0.445,2.032,1.101,1.228,0.804,0.762,0.318,0.508,0.593,0.72,0.91,0.19,0.89,0.952,0.53,0.402,1.056,0.444,0.402,0.635,0.868,0.444,0.571
1963,1.228,0.233,0.719,0.995,1.588,0.149,1.016,0.55,0.487,0.572,0.698,0.656,0.892,0.867,0.487,0.932,0.783,0.445,0.635,0.317,1.016,0.254,0.593,1.524,0.656,0.423,1.164,0.974,1.736,2.604,0.529,0.466,1.651,1.207,0.846,0.72,0.106,0.318,0.254,0.55,0.508,0.677,0.169,0.868,0.826,0.656,0.254,0.744,0.275,0.317,0.487,0.826,0.34,0.529
1964,1.905,0.277,0.656,0.91,1.862,0.191,1.143,0.762,0.508,1.142,0.995,0.847,0.888,0.932,0.361,1.354,0.762,0.508,0.804,0.403,1.588,0.319,0.995,2.456,0.889,0.424,1.249,0.952,1.905,3.005,0.656,0.381,1.736,1.185,1.144,0.889,0.34,0.444,0.402,0.53,0.698,0.953,0.36,1.059,1.016,1.312,0.382,1.618,0.36,0.593,0.592,0.889,0.444,0.466
1965,1.503,0.317,0.868,0.424,1.397,0.234,1.566,0.762,0.508,0.741,0.805,1.058,0.805,0.995,0.339,1.673,0.381,0.571,0.72,0.19,1.778,0.36,0.973,2.709,0.974,0.339,1.249,0.953,2.159,3.429,0.889,0.444,1.672,1.122,0.486,0.91,0.465,0.445,0.402,0.529,0.657,0.91,0.445,1.206,0.995,2.18,0.55,1.51,0.402,0.571,0.741,0.804,0.53,0.529
