Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1997,2.445,3.064,0.778,1.111,1.452,1.112,2.238,1.818,1.508,1.556,0.191,0.762,2.73,3.548,3.069,0.657,1.699,1.739,2.056,0.516,0.773,0.625,1.849,1.635,2.614,1.286,2.651,3.246,0.937,0.691,0.882,2.37,0.897,1.754,0.199,0.55,1.881,2.707,1.595,0.207,1.913,1.452,3.088,0.635,0.334,1.482,1.159,1.376,2.222,3.135,0.69,1.857,2.207,0.841,2.318,1.452,0.91,1.619
1998,2.77,3.834,1.477,1.985,2.128,1.913,2.062,2.897,2.985,2.27,0.19,0.953,4.017,4.811,3.515,0.888,1.897,2.802,2.54,0.817,0.629,1.603,2.604,2.024,3.964,2.254,4.477,4.199,1.445,0.698,1.103,3.027,2.008,1.825,0.222,0.551,2.167,2.873,1.699,0.239,3.104,2.08,3.651,1.312,1.047,2.307,0.166,0.17,4.866,4.033,0.572,2.31,3.207,1.23,4.016,2.437,1.63,2.421
1999,0.81,1.889,1.087,1.428,1.666,1.357,1.948,1.929,1.587,1.429,0.212,0.643,3.453,4.024,1.672,0.405,1.238,2.024,3.675,0.453,0.334,0.884,1.802,1.365,2.333,1.484,2.865,2.81,0.804,0.484,0.786,2.646,1.23,1.136,0.159,0.508,0.992,2.024,3.23,0.138,1.913,1.151,1.826,0.91,1.302,1.566,0.27,0.043,2.635,1.786,0.301,1.738,2.444,0.477,2.866,1.699,0.953,1.532
2000,0.436,1.58,1.159,1.127,1.882,1.46,1.664,2.333,1.865,1.73,0.237,0.666,3.444,4.588,1.546,0.108,1.254,1.929,1.611,0.539,0.576,1.196,1.69,1.723,2.651,1.794,2.786,2.127,0.778,0.413,0.968,2.371,0.778,1.19,0.047,0.552,1.318,2.334,1.421,0.339,2.127,1.135,1.786,0.889,1.881,1.948,0.564,0.042,2.271,1.309,0.429,1.429,2.596,1.032,2.127,1.952,0.888,1.326
2001,0.58,1.333,1.143,1.255,1.674,1.247,1.832,2.04,1.723,1.699,0.318,0.659,4.485,3.389,1.27,0.17,1.175,1.651,1.429,0.548,0.821,0.894,1.326,1.317,1.81,1.659,1.675,1.683,0.778,0.5,0.818,1.714,0.492,1.294,0.016,0.403,1.357,2.762,1.294,0.301,1.675,0.897,2.254,0.741,1.961,1.883,0.674,0.021,1.936,1.405,0.54,1.199,2.564,1.341,1.746,1.945,0.762,1.024
2002,0.492,1.286,1,0.889,1.397,1.127,1.006,1.516,1.413,1.453,0.62,0.508,3.413,3.025,0.932,0.129,0.905,1.404,1.397,0.643,0.539,0.735,1.199,1.246,1.455,1.159,1.826,1.5,0.788,0.389,0.785,1.376,0.405,1.064,0.119,0.296,1.206,2.31,0.762,0.222,1.278,1.095,2.318,0.445,1.421,1.44,0.62,0.042,1.096,0.905,0.23,0.952,2.429,1.04,1.08,1.302,0.276,0.936
2003,0.77,1.723,1.262,0.952,1.437,1.595,1.106,1.889,1.936,1.436,0.698,0.445,4.278,3.317,1.358,0.169,1.087,1.564,1.389,0.786,0.519,0.985,1,1.596,1.424,1.341,2.691,2.159,0.947,0.445,0.858,1.693,0.516,1.135,0.008,0.319,1.707,2.587,0.389,0.335,1.286,0.738,3.143,0.424,2.024,1.206,0.777,0.106,1.563,1.326,0.151,0.826,2.595,1.079,1.254,1.278,0.296,1.239
2004,0.42,1.603,1.175,0.929,1.548,1.35,0.964,1.683,1.636,1.231,0.784,0.436,0.795,2.294,1.545,0.106,1.223,1.413,2.111,0.794,0.259,0.719,0.532,1.016,1.095,1.421,1.754,1.556,0.826,0.309,2.563,1.715,0.579,0.817,0.072,0.34,1.754,1.874,0.286,0.255,1.055,0.659,2.81,0.042,1.889,1.164,0.628,0.191,1.818,1.389,0.214,0.714,3.183,1.048,1.103,1.135,0.423,1.119
2005,1.009,2.032,1.254,0.897,1.579,1.333,0.906,1.62,1.603,1.135,0.722,0.485,2.296,2.231,NA,0.212,1.285,1.794,1.318,0.539,0.344,0.588,0.714,1.159,1.09,1.627,1.643,1.841,0.873,0.54,3.088,1.735,0.683,1.096,0.103,0.17,1.953,2.492,0.261,0.314,1.382,0.707,2.469,0.064,1.937,1.651,0.817,0.212,3.12,2.055,0.389,1.135,2.516,1.111,1.794,1.349,0.424,1.5
2006,1.468,1,1.413,0.825,1.596,1.286,1.002,1.69,1.81,1.111,0.683,0.571,2.613,2.992,NA,0.084,1.239,1.699,1.762,0.612,0.381,0.587,0.786,0.984,0.953,1.27,1.183,2.032,1.005,0.365,2.35,1.927,0.619,1.278,0.127,0.212,1.302,1.873,0.382,0.271,1.921,0.563,1.921,0.021,1.571,1.419,0.651,0.232,2.849,1.929,1.071,1.596,2.12,1.294,2.072,1.207,0.338,1.079
2007,2.437,1.31,1.151,0.651,1.595,0.786,1.216,1.389,1.675,1.127,0.573,0.833,0.762,4.263,NA,0.106,1.159,1.69,1.572,0.563,0.767,0.609,0.539,1.024,0.931,1.247,1.452,2.175,0.694,0.286,2.016,2.794,0.73,1.111,0.143,0.233,1.381,1.826,0.436,0.365,2.055,0.5,1.627,0.042,0.976,0.868,0.365,0.254,2.326,2.469,1.477,2.27,2.119,0.913,1.801,1.262,0.445,1.183
2008,2.087,1.151,0.936,0.929,1.191,0.737,0.472,1.5,2.278,1.58,0.848,1.056,0.255,3.397,NA,0.064,1.016,1.461,1.405,0.802,1.181,0.545,0.62,1.278,1.175,1.309,1.786,2.207,0.523,0.342,1.825,2.476,0.572,1.413,0.222,0.149,1.198,1.46,0.421,0.312,1.921,0.826,1.889,0.042,1.039,0.846,0.31,0.17,1.349,2.405,2.175,2.794,1.548,0.873,1.35,0.46,0.275,0.945
2009,2.644,2.016,1.262,1.175,1.508,1.223,0.198,2.128,3.056,1.73,0.719,0.794,0.103,4.191,NA,0.233,1.389,1.817,1.452,1.191,1.254,0.788,0.793,1.984,1.407,1.413,3.064,3.286,0.699,0.337,2.747,3.175,0.937,1.516,0.452,0.169,1.985,2.136,0.659,0.691,2.786,1.413,3.651,0.043,1.103,1.397,0.389,0.232,2.516,3.215,2.262,2.492,1.921,0.921,1.714,0.278,0.423,1.508
2010,3.365,1.595,0.961,1.389,1.81,1.484,0.192,2.048,2.325,1.794,0.614,0.682,0.159,3.008,NA,0.191,1.024,2.183,2.104,1.166,0.883,0.762,0.81,1.54,1.011,1.889,2.619,2.429,0.624,0.207,2.151,2.434,1.111,1.063,0.667,0.106,1.476,2.135,0.762,0.539,2.818,1.27,3.397,0.021,1.104,0.741,0.444,0.298,1.762,2.659,1.31,1.564,2.079,0.738,1.747,0.159,0.297,0.944
2011,2.603,1.77,0.833,1.889,1.818,1.651,0.25,2.032,1.85,1.699,0.446,0.628,0.039,2.143,NA,0.255,1.047,1.953,2.016,1.246,1.355,0.625,0.651,1.635,1.185,1.524,2.778,1.786,0.561,0.295,2,3.556,2,1.445,0.707,0.106,1.849,1.944,0.333,0.596,2.699,0.913,3.548,0.021,0.936,0.529,0.452,0.783,1.604,2.722,1.174,1.603,1.659,0.786,1.571,0.167,0.232,0.794
2012,1.747,1.532,0.985,1.667,1.786,1.683,0.346,1.674,1.627,1.841,0.465,0.603,0.04,1.874,NA,0.212,1.032,1.968,2.151,1.199,1.646,0.709,0.849,1.85,1.863,1.27,3.429,2.69,0.73,0.199,1.738,3.556,1.953,1.453,0.754,0.084,1.429,1.929,0.172,0.587,2.484,0.547,2.326,0.021,1.262,0.169,0.596,1.017,1.698,2.27,1.699,1.032,1.913,0.802,1.477,0.214,0.254,0.937
2013,1.286,1.945,1.063,1.484,1.516,1.508,0.268,1.58,1.333,1.556,0.57,0.555,0.048,1.857,NA,0.129,1.088,1.715,2.04,0.746,1.423,0.762,0.588,1.389,1.91,1.159,1.477,2.509,0.731,0.206,1.548,3.281,1.468,1.613,0.603,0.064,1.77,2.024,0.128,0.556,2.572,0.564,2.945,0.022,1.937,0.149,0.587,0.614,2.318,2.493,2.262,0.913,2.151,1.023,1.015,0.27,0.318,0.929
2014,1.357,2.024,0.961,1.032,0.936,1.301,0.32,1.381,1.453,1.659,0.466,0.437,0.071,3.897,NA,0.129,0.881,1.716,1.206,0.436,1.032,0.783,0.563,2.008,1.382,1.683,0.19,2,0.381,0.159,2.239,2.646,1.262,1.564,0.579,0.042,1.485,2.516,0.123,0.468,1.984,0.492,2.73,0.021,1.913,0.084,0.532,0.846,2.175,2.857,1.802,0.667,2.596,0.977,1.096,0.174,0.275,0.754
2015,1.476,2.485,1.047,1.143,1.619,1.747,0.306,1.746,1.794,1.73,0.275,0.374,0.048,4.739,NA,0.276,0.905,2.058,1.207,0.397,0.931,0.799,0.5,1.868,1.561,1.699,NA,2.596,0.455,0.088,2.087,2.963,1.104,2.034,0.835,0.068,1.531,2.255,0.103,0.509,1.604,0.595,2.524,0.021,1.905,0.064,0.278,0.55,2.754,2.858,2.04,0.637,2.691,1.143,1.659,0.143,0.318,0.897
2016,1.263,1.778,0.588,0.405,0.875,0.841,0.184,0.738,0.786,0.746,0.254,0.341,0.063,1.501,NA,0.17,0.524,0.548,1.279,NA,0.196,0.148,NA,0.675,0.195,0.285,NA,NA,0.174,0.112,0.302,0.636,0.277,0.858,0.365,0.087,0.81,1.119,0.119,0.39,0.119,0.35,1.215,0.021,1,0.108,0.103,0.487,1.858,1.873,1.144,0.479,2.254,0.936,1.476,0.127,0.254,0.445
