Year,E13A1,E13A2,E16N3B,E16N4,E16N7A,E16E7,E16ExA,E16S8,F16S6A,G12N9B,G12W5,G12W7,G13E6B,G13E1,G14N10,G14S8,G15E9A,H11N2,H11N3A,H11N5,H11S9,H11W1,H11W2,H11W3,H11W4,H11W7,H12E2B,H12S1A,H13N3,H15N9,H15N10A,H15S2,H15W9,H151B,I11S8A,I11S10,I12W6,I12E1B,I13S5,I13W9,I13E6A,J11S2,J12N2,J12W9,J13E5,J14E3,K11S8A,K11S8A1,K13E6,K14N2A,K14N21,K14Ex1,K14Ex3,L13N7,L13S2,L13S3,L13S6,L13W10
1972,2.509,1.31,0.643,0.833,0.992,0.659,0.808,0.968,1.127,0.976,0.741,0.055,0.968,0.572,1.335,0.698,0.691,0.754,0.762,1.262,0.508,0.339,0.493,0.444,2.542,0.198,0.564,1.151,1.053,0.841,0.857,0.043,0.46,1.572,0.19,1.016,1.278,NA,1.731,0.056,0.563,0.706,1.715,2.35,1.651,0.486,1.199,0.72,NA,1.866,0.579,1.453,1.039,1.143,0.841,2.301,2.053,1.349
1973,1.897,0.992,1.031,0.834,1.461,0.786,0.666,1.374,1.413,1.056,0.995,0.119,1.119,0.365,1.736,0.89,1.055,0.365,0.976,1.238,0.74,0.359,0.841,0.421,1.548,0.27,1.135,1.444,1.026,0.672,1.001,0.042,0.186,1.603,0.191,0.89,1.357,NA,0.984,0.056,1.12,0.921,2.444,3.217,2.333,0.657,1.063,0.931,NA,2.151,0.889,2.087,1.342,0.897,0.873,1.493,2.181,2.024
1974,0.809,0.69,0.405,0.555,1.19,0.659,0.816,0.222,0.952,0.516,0.931,0.238,0.937,0.365,2.053,0.996,1.08,0.731,1.397,0.604,0.524,0.133,0.461,0.246,1.665,0.349,0.603,0.921,0.688,0.826,1.055,0.021,0.032,1.008,0.135,0.783,0.953,0.781,0.762,0.032,0.69,0.754,1.493,2.054,1.58,0.487,0.993,0.699,NA,1.817,1.175,1.746,0.722,0.651,0.778,1.548,1.905,1.461
1975,1.35,0.945,0.826,0.659,1.286,0.643,0.922,0.936,1.286,0.73,0.974,0.318,1.469,0.421,1.968,1.355,1.357,0.619,0.508,0.77,0.895,0.222,0.635,0.428,0.863,0.302,0.985,1.596,0.926,1.079,1.199,0.042,0.015,1.35,0.325,0.931,1.333,1.689,1.294,0.016,1.635,0.96,1.817,1.037,2.151,0.952,0.992,0.868,NA,2.247,1.437,2.263,1.246,0.794,0.762,1.428,1.482,2.056
1976,1.643,1.151,0.944,0.96,1.596,0.73,0.924,1.921,1.516,0.786,1.164,0.445,1.682,0.539,1.461,1.333,1.413,0.675,0.5,0.762,0.948,0.238,0.627,0.429,0.889,0.357,1.635,1.738,1.006,0.903,1.182,0.043,0.016,1.19,0.365,0.72,1.548,1.981,1.397,0.024,1.54,0.977,1.826,1.799,2.262,0.931,1.032,1.143,1.602,2.667,1.556,2.127,1.747,0.793,0.913,1.143,1.481,2.532
1977,1.929,1.397,1.072,1.096,1.984,0.849,0.544,1.358,1.937,1.246,1.08,0.549,1.453,0.739,1.736,1.419,1.754,0.984,0.691,1.055,1.153,0.598,0.643,0.572,0.725,0.627,2.556,2.389,0.772,0.826,1.167,0.106,0.016,1.199,0.405,0.465,1.548,1.525,1.166,0.032,1.651,0.936,2.008,2.095,1.699,0.847,1.333,1.354,1.614,2.944,1.619,1.921,1.833,1.064,1.04,1.088,1.249,3.222
1978,1.428,1.468,0.952,0.825,2.223,0.929,0.438,1.27,2.04,1.135,1.206,0.635,1.516,1.135,1.418,2.158,1.723,1.349,0.785,0.77,0.974,0.598,0.524,0.539,0.846,0.762,1.587,1.619,0.979,1.008,1.127,0.084,0.018,1.445,0.555,0.741,1.611,1.005,1.302,0.024,1.342,0.794,1.437,1.842,1.587,1.27,1.469,1.186,1.604,3.239,1.794,1.484,1.596,2.111,1.262,1.206,1.249,3.326
1979,1.405,1.382,0.992,0.738,1.865,1.072,0.508,1.492,2.548,0.905,1.228,0.54,1.611,1.547,1.481,1.927,1.5,1.476,0.675,0.588,1.725,0.545,0.746,0.842,0.799,0.635,2.119,1.961,0.773,1.232,1.048,0.085,0.016,1.309,0.755,0.762,1.628,0.762,2.096,0.023,1.476,0.81,2.143,2.053,1.278,1.185,1.293,1.1,1.548,2.048,1.063,1.365,1.468,2.231,1.167,0.881,1.46,3.294
1980,0.993,1.127,1.326,0.866,2.024,1.079,0.642,1.373,2.23,1.127,0.952,0.786,1.77,1.278,1.524,1.46,1.675,1.548,0.873,0.603,1.773,0.656,0.746,1.293,0.725,0.675,2.096,1.865,0.746,1.39,1.064,0.085,0.016,1.318,0.523,0.55,1.659,0.881,2.683,0.025,1.683,0.881,2.072,2.074,1.096,1.27,1.818,1.143,1.508,1.746,1.231,1.207,1.802,1.643,1.254,0.865,1.757,2.921
1981,1.547,1.024,0.953,0.873,2.032,1.183,0.648,1.627,2.349,1.31,1.376,0.722,1.326,1.183,1.99,1.037,1.651,1.104,1.405,0.555,1.466,0.519,0.476,1.532,0.577,0.524,2.405,1.477,0.921,0.985,1.016,0.127,0.016,1.421,0.699,0.784,1.619,1.278,2.397,0.016,2.119,1.055,2.381,2.329,1.008,1.249,1.945,1.101,1.738,2.564,1.333,1.691,1.691,1.413,1.087,1.024,2.053,2.747
