TRE_CN,MEASYEAR,Year,RW,DIA_t,DIA_bc
11807271010690,2016,1908,0.08,5.5,3.8464558000000015
11807271010690,2016,1909,0.08,5.5,3.8527550160000015
11807271010690,2016,1910,0.07,5.5,3.8582668300000016
11807271010690,2016,1911,0.1,5.5,3.8661408500000016
11807271010690,2016,1912,0.07,5.5,3.8716526640000017
11807271010690,2016,1913,0.08,5.5,3.8779518800000017
11807271010690,2016,1914,0.08,5.5,3.8842510960000016
11807271010690,2016,1915,0.06,5.5,3.8889755080000015
11807271010690,2016,1916,0.11,5.5,3.8976369300000013
11807271010690,2016,1917,0.05,5.5,3.9015739400000014
11807271010690,2016,1918,0.06,5.5,3.906298352000001
11807271010690,2016,1919,0.06,5.5,3.911022764000001
11807271010690,2016,1920,0.09,5.5,3.9181093820000013
11807271010690,2016,1921,0.05,5.5,3.9220463920000013
11807271010690,2016,1922,0.06,5.5,3.926770804000001
11807271010690,2016,1923,0.05,5.5,3.930707814000001
11807271010690,2016,1924,0.02,5.5,3.9322826180000012
11807271010690,2016,1925,0.03,5.5,3.934644824000001
11807271010690,2016,1926,0.05,5.5,3.938581834000001
11807271010690,2016,1927,0.05,5.5,3.942518844000001
11807271010690,2016,1928,0.04,5.5,3.9456684520000014
11807271010690,2016,1929,0.03,5.5,3.9480306580000013
11807271010690,2016,1930,0.02,5.5,3.9496054620000014
11807271010690,2016,1931,0.04,5.5,3.9527550700000016
11807271010690,2016,1932,0.05,5.5,3.9566920800000016
11807271010690,2016,1933,0.06,5.5,3.9614164920000015
11807271010690,2016,1934,0.07,5.5,3.9669283060000016
11807271010690,2016,1935,0.05,5.5,3.9708653160000016
11807271010690,2016,1936,0.07,5.5,3.9763771300000017
11807271010690,2016,1937,0.07,5.5,3.981888944000002
11807271010690,2016,1938,0.09,5.5,3.988975562000002
11807271010690,2016,1939,0.1,5.5,3.996849582000002
11807271010690,2016,1940,0.16,5.5,4.009448014000002
11807271010690,2016,1941,0.19,5.5,4.024408652000002
11807271010690,2016,1942,0.21,5.5,4.040944094000002
11807271010690,2016,1943,0.21,5.5,4.057479536000002
11807271010690,2016,1944,0.21,5.5,4.074014978000003
11807271010690,2016,1945,0.19,5.5,4.088975616000003
11807271010690,2016,1946,0.17,5.5,4.102361450000003
11807271010690,2016,1947,0.18,5.5,4.116534686000003
11807271010690,2016,1948,0.22,5.5,4.133857530000003
11807271010690,2016,1949,0.15,5.5,4.1456685600000025
11807271010690,2016,1950,0.17,5.5,4.159054394000003
11807271010690,2016,1951,0.2,5.5,4.174802434000003
11807271010690,2016,1952,0.25,5.5,4.194487484000002
11807271010690,2016,1953,0.22,5.5,4.211810328000002
11807271010690,2016,1954,0.26,5.5,4.232282780000002
11807271010690,2016,1955,0.27,5.5,4.253542634000002
11807271010690,2016,1956,0.18,5.5,4.267715870000003
11807271010690,2016,1957,0.2,5.5,4.283463910000003
11807271010690,2016,1958,0.21,5.5,4.299999352000003
11807271010690,2016,1959,0.21,5.5,4.316534794000003
11807271010690,2016,1960,0.16,5.5,4.329133226000003
11807271010690,2016,1961,0.17,5.5,4.342519060000003
11807271010690,2016,1962,0.14,5.5,4.353542688000004
11807271010690,2016,1963,0.19,5.5,4.3685033260000035
11807271010690,2016,1964,0.2,5.5,4.3842513660000035
11807271010690,2016,1965,0.16,5.5,4.396849798000003
11807271010690,2016,1966,0.14,5.5,4.407873426000004
11807271010690,2016,1967,0.19,5.5,4.4228340640000035
11807271010690,2016,1968,0.19,5.5,4.437794702000003
11807271010690,2016,1969,0.18,5.5,4.451967938000004
11807271010690,2016,1970,0.23,5.5,4.470078184000004
11807271010690,2016,1971,0.25,5.5,4.489763234000003
11807271010690,2016,1972,0.2,5.5,4.505511274000003
11807271010690,2016,1973,0.25,5.5,4.525196324000003
11807271010690,2016,1974,0.25,5.5,4.544881374000003
11807271010690,2016,1975,0.28,5.5,4.566928630000002
11807271010690,2016,1976,0.25,5.5,4.586613680000002
11807271010690,2016,1977,0.22,5.5,4.603936524000002
11807271010690,2016,1978,0.22,5.5,4.621259368000001
11807271010690,2016,1979,0.25,5.5,4.640944418000001
11807271010690,2016,1980,0.29,5.5,4.663779076000001
11807271010690,2016,1981,0.25,5.5,4.6834641260000005
11807271010690,2016,1982,0.25,5.5,4.703149176
11807271010690,2016,1983,0.32,5.5,4.72834604
11807271010690,2016,1984,0.34,5.5,4.755117708
11807271010690,2016,1985,0.33,5.5,4.781101974
11807271010690,2016,1986,0.43,5.5,4.81496026
11807271010690,2016,1987,0.34,5.5,4.841731928000001
11807271010690,2016,1988,0.35,5.5,4.869290998
11807271010690,2016,1989,0.29,5.5,4.892125656
11807271010690,2016,1990,0.28,5.5,4.914172912
11807271010690,2016,1991,0.27,5.5,4.935432766
11807271010690,2016,1992,0.27,5.5,4.95669262
11807271010690,2016,1993,0.29,5.5,4.979527278
11807271010690,2016,1994,0.32,5.5,5.004724142
11807271010690,2016,1995,0.31,5.5,5.029133604
11807271010690,2016,1996,0.34,5.5,5.055905272
11807271010690,2016,1997,0.32,5.5,5.081102136
11807271010690,2016,1998,0.37,5.5,5.11023601
11807271010690,2016,1999,0.29,5.5,5.133070668
11807271010690,2016,2000,0.26,5.5,5.15354312
11807271010690,2016,2001,0.31,5.5,5.1779525820000005
11807271010690,2016,2002,0.23,5.5,5.1960628280000005
11807271010690,2016,2003,0.09,5.5,5.203149446
11807271010690,2016,2004,0.1,5.5,5.211023466
11807271010690,2016,2005,0.15,5.5,5.222834496
11807271010690,2016,2006,0.21,5.5,5.239369938
11807271010690,2016,2007,0.22,5.5,5.256692782
11807271010690,2016,2008,0.2,5.5,5.272440822
11807271010690,2016,2009,0.18,5.5,5.2866140580000005
11807271010690,2016,2010,0.21,5.5,5.303149500000001
11807271010690,2016,2011,0.28,5.5,5.325196756
11807271010690,2016,2012,0.29,5.5,5.348031414
11807271010690,2016,2013,0.36,5.5,5.376377886
11807271010690,2016,2014,0.51,5.5,5.416535388
11807271010690,2016,2015,0.42,5.5,5.449606272
11807271010690,2016,2016,0.64,5.5,5.5
12283792010690,2017,1757,0.29,7.1,0.6322799719999987
12283792010690,2017,1758,0.22,7.1,0.6496028159999987
12283792010690,2017,1759,0.21,7.1,0.6661382579999987
12283792010690,2017,1760,0.32,7.1,0.6913351219999987
12283792010690,2017,1761,0.23,7.1,0.7094453679999987
12283792010690,2017,1762,0.19,7.1,0.7244060059999987
12283792010690,2017,1763,0.11,7.1,0.7330674279999987
12283792010690,2017,1764,0.08,7.1,0.7393666439999987
12283792010690,2017,1765,0.09,7.1,0.7464532619999987
12283792010690,2017,1766,0.09,7.1,0.7535398799999987
12283792010690,2017,1767,0.09,7.1,0.7606264979999987
12283792010690,2017,1768,0.1,7.1,0.7685005179999987
12283792010690,2017,1769,0.08,7.1,0.7747997339999988
12283792010690,2017,1770,0.08,7.1,0.7810989499999988
12283792010690,2017,1771,0.1,7.1,0.7889729699999989
12283792010690,2017,1772,0.11,7.1,0.7976343919999989
12283792010690,2017,1773,0.11,7.1,0.8062958139999988
12283792010690,2017,1774,0.12,7.1,0.8157446379999989
12283792010690,2017,1775,0.16,7.1,0.8283430699999988
12283792010690,2017,1776,0.06,7.1,0.8330674819999988
12283792010690,2017,1777,0.07,7.1,0.8385792959999988
12283792010690,2017,1778,0.06,7.1,0.8433037079999988
12283792010690,2017,1779,0.11,7.1,0.8519651299999987
12283792010690,2017,1780,0.11,7.1,0.8606265519999987
12283792010690,2017,1781,0.11,7.1,0.8692879739999987
12283792010690,2017,1782,0.13,7.1,0.8795241999999986
12283792010690,2017,1783,0.08,7.1,0.8858234159999987
12283792010690,2017,1784,0.19,7.1,0.9007840539999987
12283792010690,2017,1785,0.14,7.1,0.9118076819999987
12283792010690,2017,1786,0.15,7.1,0.9236187119999987
12283792010690,2017,1787,0.12,7.1,0.9330675359999987
12283792010690,2017,1788,0.14,7.1,0.9440911639999987
12283792010690,2017,1789,0.13,7.1,0.9543273899999987
12283792010690,2017,1790,0.13,7.1,0.9645636159999986
12283792010690,2017,1791,0.21,7.1,0.9810990579999986
12283792010690,2017,1792,0.3,7.1,1.0047211179999986
12283792010690,2017,1793,0.27,7.1,1.0259809719999986
12283792010690,2017,1794,0.32,7.1,1.0511778359999986
12283792010690,2017,1795,0.33,7.1,1.0771621019999986
12283792010690,2017,1796,0.19,7.1,1.0921227399999986
12283792010690,2017,1797,0.17,7.1,1.1055085739999986
12283792010690,2017,1798,0.19,7.1,1.1204692119999986
12283792010690,2017,1799,0.15,7.1,1.1322802419999987
12283792010690,2017,1800,0.12,7.1,1.1417290659999986
12283792010690,2017,1801,0.12,7.1,1.1511778899999985
12283792010690,2017,1802,0.12,7.1,1.1606267139999984
12283792010690,2017,1803,0.12,7.1,1.1700755379999983
12283792010690,2017,1804,0.14,7.1,1.1810991659999983
12283792010690,2017,1805,0.19,7.1,1.1960598039999983
12283792010690,2017,1806,0.1,7.1,1.2039338239999984
12283792010690,2017,1807,0.15,7.1,1.2157448539999984
12283792010690,2017,1808,0.1,7.1,1.2236188739999985
12283792010690,2017,1809,0.13,7.1,1.2338550999999984
12283792010690,2017,1810,0.11,7.1,1.2425165219999985
12283792010690,2017,1811,0.18,7.1,1.2566897579999985
12283792010690,2017,1812,0.2,7.1,1.2724377979999986
12283792010690,2017,1813,0.18,7.1,1.2866110339999985
12283792010690,2017,1814,0.19,7.1,1.3015716719999986
12283792010690,2017,1815,0.27,7.1,1.3228315259999985
12283792010690,2017,1816,0.3,7.1,1.3464535859999984
12283792010690,2017,1817,0.27,7.1,1.3677134399999984
12283792010690,2017,1818,0.22,7.1,1.3850362839999983
12283792010690,2017,1819,0.22,7.1,1.4023591279999983
12283792010690,2017,1820,0.19,7.1,1.4173197659999983
12283792010690,2017,1821,0.15,7.1,1.4291307959999984
12283792010690,2017,1822,0.21,7.1,1.4456662379999983
12283792010690,2017,1823,0.33,7.1,1.4716505039999983
12283792010690,2017,1824,0.22,7.1,1.4889733479999983
12283792010690,2017,1825,0.2,7.1,1.5047213879999983
12283792010690,2017,1826,0.25,7.1,1.5244064379999984
12283792010690,2017,1827,0.2,7.1,1.5401544779999985
12283792010690,2017,1828,0.21,7.1,1.5566899199999984
12283792010690,2017,1829,0.23,7.1,1.5748001659999984
12283792010690,2017,1830,0.25,7.1,1.5944852159999985
12283792010690,2017,1831,0.18,7.1,1.6086584519999985
12283792010690,2017,1832,0.09,7.1,1.6157450699999985
12283792010690,2017,1833,0.18,7.1,1.6299183059999984
12283792010690,2017,1834,0.13,7.1,1.6401545319999984
12283792010690,2017,1835,0.11,7.1,1.6488159539999985
12283792010690,2017,1836,0.1,7.1,1.6566899739999985
12283792010690,2017,1837,0.1,7.1,1.6645639939999985
12283792010690,2017,1838,0.05,7.1,1.6685010039999986
12283792010690,2017,1839,0.12,7.1,1.6779498279999985
12283792010690,2017,1840,0.15,7.1,1.6897608579999985
12283792010690,2017,1841,0.16,7.1,1.7023592899999986
12283792010690,2017,1842,0.11,7.1,1.7110207119999987
12283792010690,2017,1843,0.27,7.1,1.7322805659999987
12283792010690,2017,1844,0.14,7.1,1.7433041939999987
12283792010690,2017,1845,0.14,7.1,1.7543278219999987
12283792010690,2017,1846,0.17,7.1,1.7677136559999986
12283792010690,2017,1847,0.19,7.1,1.7826742939999987
12283792010690,2017,1848,0.16,7.1,1.7952727259999988
12283792010690,2017,1849,0.14,7.1,1.8062963539999988
12283792010690,2017,1850,0.15,7.1,1.8181073839999988
12283792010690,2017,1851,0.14,7.1,1.8291310119999988
12283792010690,2017,1852,0.12,7.1,1.8385798359999987
12283792010690,2017,1853,0.16,7.1,1.8511782679999988
12283792010690,2017,1854,0.18,7.1,1.8653515039999988
12283792010690,2017,1855,0.18,7.1,1.8795247399999988
12283792010690,2017,1856,0.14,7.1,1.8905483679999988
12283792010690,2017,1857,0.14,7.1,1.9015719959999988
12283792010690,2017,1858,0.13,7.1,1.9118082219999988
12283792010690,2017,1859,0.14,7.1,1.9228318499999988
12283792010690,2017,1860,0.12,7.1,1.9322806739999987
12283792010690,2017,1861,0.14,7.1,1.9433043019999987
12283792010690,2017,1862,0.08,7.1,1.9496035179999986
12283792010690,2017,1863,0.13,7.1,1.9598397439999986
12283792010690,2017,1864,0.16,7.1,1.9724381759999987
12283792010690,2017,1865,0.11,7.1,1.9810995979999988
12283792010690,2017,1866,0.14,7.1,1.9921232259999988
12283792010690,2017,1867,0.11,7.1,2.000784647999999
12283792010690,2017,1868,0.17,7.1,2.014170481999999
12283792010690,2017,1869,0.18,7.1,2.028343717999999
12283792010690,2017,1870,0.14,7.1,2.039367345999999
12283792010690,2017,1871,0.17,7.1,2.052753179999999
12283792010690,2017,1872,0.17,7.1,2.066139013999999
12283792010690,2017,1873,0.11,7.1,2.074800435999999
12283792010690,2017,1874,0.17,7.1,2.088186269999999
12283792010690,2017,1875,0.17,7.1,2.1015721039999993
12283792010690,2017,1876,0.16,7.1,2.114170535999999
12283792010690,2017,1877,0.2,7.1,2.1299185759999992
12283792010690,2017,1878,0.15,7.1,2.1417296059999993
12283792010690,2017,1879,0.15,7.1,2.1535406359999993
12283792010690,2017,1880,0.16,7.1,2.1661390679999992
12283792010690,2017,1881,0.12,7.1,2.1755878919999994
12283792010690,2017,1882,0.14,7.1,2.186611519999999
12283792010690,2017,1883,0.09,7.1,2.1936981379999994
12283792010690,2017,1884,0.1,7.1,2.2015721579999994
12283792010690,2017,1885,0.08,7.1,2.2078713739999993
12283792010690,2017,1886,0.17,7.1,2.2212572079999995
12283792010690,2017,1887,0.1,7.1,2.2291312279999995
12283792010690,2017,1888,0.12,7.1,2.2385800519999997
12283792010690,2017,1889,0.15,7.1,2.2503910819999997
12283792010690,2017,1890,0.13,7.1,2.2606273079999997
12283792010690,2017,1891,0.15,7.1,2.2724383379999997
12283792010690,2017,1892,0.16,7.1,2.2850367699999996
12283792010690,2017,1893,0.18,7.1,2.2992100059999996
12283792010690,2017,1894,0.12,7.1,2.3086588299999997
12283792010690,2017,1895,0.07,7.1,2.314170644
12283792010690,2017,1896,0.12,7.1,2.323619468
12283792010690,2017,1897,0.1,7.1,2.331493488
12283792010690,2017,1898,0.13,7.1,2.341729714
12283792010690,2017,1899,0.11,7.1,2.350391136
12283792010690,2017,1900,0.09,7.1,2.357477754
12283792010690,2017,1901,0.15,7.1,2.369288784
12283792010690,2017,1902,0.22,7.1,2.3866116280000003
12283792010690,2017,1903,0.14,7.1,2.397635256
12283792010690,2017,1904,0.17,7.1,2.41102109
12283792010690,2017,1905,0.11,7.1,2.419682512
12283792010690,2017,1906,0.13,7.1,2.429918738
12283792010690,2017,1907,0.18,7.1,2.444091974
12283792010690,2017,1908,0.14,7.1,2.455115602
12283792010690,2017,1909,0.12,7.1,2.464564426
12283792010690,2017,1910,0.11,7.1,2.473225848
12283792010690,2017,1911,0.12,7.1,2.482674672
12283792010690,2017,1912,0.13,7.1,2.492910898
12283792010690,2017,1913,0.12,7.1,2.502359722
12283792010690,2017,1914,0.1,7.1,2.510233742
