TRE_CN,MEASYEAR,Year,RW,DIA
23T470,2023,1925,0.15,3.9
23T470,2023,1926,0.12,3.9
23T470,2023,1927,0.15,3.9
23T470,2023,1928,0.14,3.9
23T470,2023,1929,0.14,3.9
23T470,2023,1930,0.13,3.9
23T470,2023,1931,0.13,3.9
23T470,2023,1932,0.11,3.9
23T470,2023,1933,0.13,3.9
23T470,2023,1934,0.09,3.9
23T470,2023,1935,0.1,3.9
23T470,2023,1936,0.1,3.9
23T470,2023,1937,0.17,3.9
23T470,2023,1938,0.11,3.9
23T470,2023,1939,0.15,3.9
23T470,2023,1940,0.12,3.9
23T470,2023,1941,0.11,3.9
23T470,2023,1942,0.14,3.9
23T470,2023,1943,0.12,3.9
23T470,2023,1944,0.1,3.9
23T470,2023,1945,0.14,3.9
23T470,2023,1946,0.13,3.9
23T470,2023,1947,0.11,3.9
23T470,2023,1948,0.18,3.9
23T470,2023,1949,0.1,3.9
23T470,2023,1950,0.1,3.9
23T470,2023,1951,0.09,3.9
23T470,2023,1952,0.12,3.9
23T470,2023,1953,0.12,3.9
23T470,2023,1954,0.13,3.9
23T470,2023,1955,0.12,3.9
23T470,2023,1956,0.09,3.9
23T470,2023,1957,0.12,3.9
23T470,2023,1958,0.15,3.9
23T470,2023,1959,0.14,3.9
23T470,2023,1960,0.12,3.9
23T470,2023,1961,0.08,3.9
23T470,2023,1962,0.12,3.9
23T470,2023,1963,0.12,3.9
23T470,2023,1964,0.13,3.9
23T470,2023,1965,0.12,3.9
23T470,2023,1966,0.15,3.9
23T470,2023,1967,0.13,3.9
23T470,2023,1968,0.1,3.9
23T470,2023,1969,0.07,3.9
23T470,2023,1970,0.12,3.9
23T470,2023,1971,0.06,3.9
23T470,2023,1972,0.08,3.9
23T470,2023,1973,0.1,3.9
23T470,2023,1974,0.11,3.9
23T470,2023,1975,0.11,3.9
23T470,2023,1976,0.11,3.9
23T470,2023,1977,0.1,3.9
23T470,2023,1978,0.1,3.9
23T470,2023,1979,0.1,3.9
23T470,2023,1980,0.17,3.9
23T470,2023,1981,0.13,3.9
23T470,2023,1982,0.18,3.9
23T470,2023,1983,0.17,3.9
23T470,2023,1984,0.18,3.9
23T470,2023,1985,0.2,3.9
23T470,2023,1986,0.24,3.9
23T470,2023,1987,0.19,3.9
23T470,2023,1988,0.14,3.9
23T470,2023,1989,0.16,3.9
23T470,2023,1990,0.16,3.9
23T470,2023,1991,0.17,3.9
23T470,2023,1992,0.16,3.9
23T470,2023,1993,0.15,3.9
23T470,2023,1994,0.21,3.9
23T470,2023,1995,0.21,3.9
23T470,2023,1996,0.17,3.9
23T470,2023,1997,0.09,3.9
23T470,2023,1998,0.18,3.9
23T470,2023,1999,0.2,3.9
23T470,2023,2000,0.17,3.9
23T470,2023,2001,0.11,3.9
23T470,2023,2002,0.09,3.9
23T470,2023,2003,0.1,3.9
23T470,2023,2004,0.09,3.9
23T470,2023,2005,0.12,3.9
23T470,2023,2006,0.13,3.9
23T470,2023,2007,0.11,3.9
23T470,2023,2008,0.09,3.9
23T470,2023,2009,0.12,3.9
23T470,2023,2010,0.14,3.9
23T470,2023,2011,0.19,3.9
23T470,2023,2012,0.15,3.9
23T470,2023,2013,0.16,3.9
23T470,2023,2014,0.18,3.9
23T470,2023,2015,0.14,3.9
23T470,2023,2016,0.18,3.9
23T470,2023,2017,0.19,3.9
23T470,2023,2018,0.23,3.9
23T470,2023,2019,0.24,3.9
23T470,2023,2020,0.31,3.9
23T470,2023,2021,0.29,3.9
23T470,2023,2022,0.29,3.9
23T479,2023,1905,0.13,12.1
23T479,2023,1906,0.33,12.1
23T479,2023,1907,0.37,12.1
23T479,2023,1908,0.3,12.1
23T479,2023,1909,0.21,12.1
23T479,2023,1910,0.45,12.1
23T479,2023,1911,0.38,12.1
23T479,2023,1912,0.14,12.1
23T479,2023,1913,0.38,12.1
23T479,2023,1914,0.56,12.1
23T479,2023,1915,0.79,12.1
23T479,2023,1916,0.58,12.1
23T479,2023,1917,0.45,12.1
23T479,2023,1918,0.78,12.1
23T479,2023,1919,1.06,12.1
23T479,2023,1920,0.84,12.1
23T479,2023,1921,0.78,12.1
23T479,2023,1922,1.34,12.1
23T479,2023,1923,1.03,12.1
23T479,2023,1924,0.87,12.1
23T479,2023,1925,0.77,12.1
23T479,2023,1926,0.87,12.1
23T479,2023,1927,0.72,12.1
23T479,2023,1928,0.82,12.1
23T479,2023,1929,0.88,12.1
23T479,2023,1930,0.82,12.1
23T479,2023,1931,1.02,12.1
23T479,2023,1932,0.95,12.1
23T479,2023,1933,0.65,12.1
23T479,2023,1934,1,12.1
23T479,2023,1935,0.89,12.1
23T479,2023,1936,0.82,12.1
23T479,2023,1937,0.79,12.1
23T479,2023,1938,0.81,12.1
23T479,2023,1939,1.28,12.1
23T479,2023,1940,1.04,12.1
23T479,2023,1941,1.06,12.1
23T479,2023,1942,0.92,12.1
23T479,2023,1943,0.96,12.1
23T479,2023,1944,1.25,12.1
23T479,2023,1945,1.31,12.1
23T479,2023,1946,1.18,12.1
23T479,2023,1947,1.09,12.1
23T479,2023,1948,1.02,12.1
23T479,2023,1949,1.29,12.1
23T479,2023,1950,1.13,12.1
23T479,2023,1951,1.26,12.1
23T479,2023,1952,1.44,12.1
23T479,2023,1953,0.85,12.1
23T479,2023,1954,0.97,12.1
23T479,2023,1955,0.9,12.1
23T479,2023,1956,1.12,12.1
23T479,2023,1957,1.69,12.1
23T479,2023,1958,1.31,12.1
23T479,2023,1959,0.87,12.1
23T479,2023,1960,0.9,12.1
23T479,2023,1961,0.89,12.1
23T479,2023,1962,0.67,12.1
23T479,2023,1963,0.97,12.1
23T479,2023,1964,0.95,12.1
23T479,2023,1965,0.91,12.1
23T479,2023,1966,0.93,12.1
23T479,2023,1967,1.53,12.1
23T479,2023,1968,0.91,12.1
23T479,2023,1969,0.63,12.1
23T479,2023,1970,0.84,12.1
23T479,2023,1971,1.03,12.1
23T479,2023,1972,1.07,12.1
23T479,2023,1973,0.86,12.1
23T479,2023,1974,0.56,12.1
23T479,2023,1975,0.43,12.1
23T479,2023,1976,0.42,12.1
23T479,2023,1977,0.6,12.1
23T479,2023,1978,0.57,12.1
23T479,2023,1979,0.57,12.1
23T479,2023,1980,0.87,12.1
23T479,2023,1981,0.92,12.1
23T479,2023,1982,0.77,12.1
23T479,2023,1983,0.74,12.1
23T479,2023,1984,0.85,12.1
23T479,2023,1985,0.91,12.1
23T479,2023,1986,0.79,12.1
23T479,2023,1987,0.88,12.1
23T479,2023,1988,0.75,12.1
23T479,2023,1989,0.68,12.1
23T479,2023,1990,0.62,12.1
23T479,2023,1991,0.74,12.1
23T479,2023,1992,0.74,12.1
23T479,2023,1993,0.83,12.1
23T479,2023,1994,0.78,12.1
23T479,2023,1995,0.71,12.1
23T479,2023,1996,0.4,12.1
23T479,2023,1997,0.68,12.1
23T479,2023,1998,0.73,12.1
23T479,2023,1999,0.73,12.1
23T479,2023,2000,0.96,12.1
23T479,2023,2001,0.64,12.1
23T479,2023,2002,0.66,12.1
23T479,2023,2003,0.82,12.1
23T479,2023,2004,0.53,12.1
23T479,2023,2005,0.64,12.1
23T479,2023,2006,0.6,12.1
23T479,2023,2007,0.42,12.1
23T479,2023,2008,0.5,12.1
23T479,2023,2009,0.56,12.1
23T479,2023,2010,0.47,12.1
23T479,2023,2011,0.43,12.1
23T479,2023,2012,0.45,12.1
23T479,2023,2013,0.47,12.1
23T479,2023,2014,0.34,12.1
23T479,2023,2015,0.45,12.1
23T479,2023,2016,0.61,12.1
23T479,2023,2017,0.65,12.1
23T479,2023,2018,0.56,12.1
23T479,2023,2019,0.63,12.1
23T479,2023,2020,0.45,12.1
23T479,2023,2021,0.53,12.1
23T479,2023,2022,0.54,12.1
23T525,2023,1852,0.76,14.1
23T525,2023,1853,0.51,14.1
23T525,2023,1854,0.58,14.1
23T525,2023,1855,0.78,14.1
23T525,2023,1856,0.58,14.1
23T525,2023,1857,1.08,14.1
23T525,2023,1858,1.05,14.1
23T525,2023,1859,1.17,14.1
23T525,2023,1860,1.24,14.1
23T525,2023,1861,1.27,14.1
23T525,2023,1862,0.31,14.1
23T525,2023,1863,0.88,14.1
23T525,2023,1864,0.75,14.1
23T525,2023,1865,0.73,14.1
23T525,2023,1866,0.65,14.1
23T525,2023,1867,0.52,14.1
23T525,2023,1868,0.5,14.1
23T525,2023,1869,0.74,14.1
23T525,2023,1870,0.63,14.1
23T525,2023,1871,0.7,14.1
23T525,2023,1872,0.43,14.1
23T525,2023,1873,0.52,14.1
23T525,2023,1874,0.82,14.1
23T525,2023,1875,0.92,14.1
23T525,2023,1876,0.78,14.1
23T525,2023,1877,0.91,14.1
23T525,2023,1878,0.99,14.1
23T525,2023,1879,1.32,14.1
23T525,2023,1880,0.91,14.1
23T525,2023,1881,1.06,14.1
23T525,2023,1882,0.94,14.1
23T525,2023,1883,0.94,14.1
23T525,2023,1884,1.24,14.1
23T525,2023,1885,1.16,14.1
23T525,2023,1886,0.86,14.1
