TRE_CN,Year,RW,MEASYEAR,DIA
2873032010690,1905,1.77,1994,19.7
2873032010690,1906,3.08,1994,19.7
2873032010690,1907,3.21,1994,19.7
2873032010690,1908,3.1,1994,19.7
2873032010690,1909,3.61,1994,19.7
2873032010690,1910,2.82,1994,19.7
2873032010690,1911,3.11,1994,19.7
2873032010690,1912,2.39,1994,19.7
2873032010690,1913,2.25,1994,19.7
2873032010690,1914,2.1,1994,19.7
2873032010690,1915,2.28,1994,19.7
2873032010690,1916,2.71,1994,19.7
2873032010690,1917,2.94,1994,19.7
2873032010690,1918,2.02,1994,19.7
2873032010690,1919,1,1994,19.7
2873032010690,1920,1.45,1994,19.7
2873032010690,1921,2.13,1994,19.7
2873032010690,1922,1.91,1994,19.7
2873032010690,1923,1.82,1994,19.7
2873032010690,1924,1.31,1994,19.7
2873032010690,1925,1.68,1994,19.7
2873032010690,1926,1.22,1994,19.7
2873032010690,1927,1.29,1994,19.7
2873032010690,1928,2.23,1994,19.7
2873032010690,1929,1.82,1994,19.7
2873032010690,1930,2.05,1994,19.7
2873032010690,1931,2.47,1994,19.7
2873032010690,1932,1.82,1994,19.7
2873032010690,1933,1.92,1994,19.7
2873032010690,1934,1.62,1994,19.7
2873032010690,1935,1.12,1994,19.7
2873032010690,1936,0.97,1994,19.7
2873032010690,1937,0.96,1994,19.7
2873032010690,1938,1.2,1994,19.7
2873032010690,1939,1.2,1994,19.7
2873032010690,1940,1.14,1994,19.7
2873032010690,1941,1.12,1994,19.7
2873032010690,1942,1.24,1994,19.7
2873032010690,1943,0.97,1994,19.7
2873032010690,1944,1.27,1994,19.7
2873032010690,1945,1.23,1994,19.7
2873032010690,1946,0.99,1994,19.7
2873032010690,1947,1.25,1994,19.7
2873032010690,1948,1.41,1994,19.7
2873032010690,1949,1.55,1994,19.7
2873032010690,1950,0.92,1994,19.7
2873032010690,1951,1.3,1994,19.7
2873032010690,1952,0.95,1994,19.7
2873032010690,1953,1.02,1994,19.7
2873032010690,1954,0.9,1994,19.7
2873032010690,1955,0.69,1994,19.7
2873032010690,1956,0.59,1994,19.7
2873032010690,1957,0.76,1994,19.7
2873032010690,1958,0.98,1994,19.7
2873032010690,1959,0.59,1994,19.7
2873032010690,1960,0.8,1994,19.7
2873032010690,1961,1.05,1994,19.7
2873032010690,1962,0.98,1994,19.7
2873032010690,1963,1.1,1994,19.7
2873032010690,1964,1.06,1994,19.7
2873032010690,1965,1.06,1994,19.7
2873032010690,1966,1.01,1994,19.7
2873032010690,1967,1.04,1994,19.7
2873032010690,1968,1.24,1994,19.7
2873032010690,1969,1.77,1994,19.7
2873032010690,1970,0.99,1994,19.7
2873032010690,1971,0.7,1994,19.7
2873032010690,1972,1.12,1994,19.7
2873032010690,1973,1.14,1994,19.7
2873032010690,1974,0.56,1994,19.7
2873032010690,1975,0.73,1994,19.7
2873032010690,1976,0.82,1994,19.7
2873032010690,1977,0.45,1994,19.7
2873032010690,1978,0.74,1994,19.7
